declarative_paraphrase_exact,far_tfpr,generation_tfpr,malformed_rate,memory_storage_bytes,method,near_tfpr,preservation_key_drift,retain_distribution_kl,rewrite_exact,runtime_seconds,same_subject_tfpr,selection_score,source_table,stress_aware_aggregate,target_length
0.12,,,0.0,5734400,fullmask_delta,,,,0.3,128.87844493985176,0.0,0.0,variant_summary.csv,0.0,2
0.06,,,0.0,5734400,uniform_partial_state_delta,,,,0.18,129.00231373868883,0.0,0.0,variant_summary.csv,0.0,2
0.06,,,0.0,5734400,mask_count_cycling_delta,,,,0.12,124.88604147918522,0.0,0.0,variant_summary.csv,0.0,2
0.04,,,0.0,5734400,trajectory_sampled_delta,,,,0.08,127.86719362810254,0.0,0.0,variant_summary.csv,0.0,2
0.14,,,0.0,17203200,state_bucketed_delta,,,,0.32,253.74762648157775,0.0,0.0,variant_summary.csv,0.0,2
0.06,,,0.0,17203200,state_bucketed_delta_shuffled_control,,,,0.18,2.1135008819401264,0.0,0.0,variant_summary.csv,0.0,2
0.1,,,0.0,5734400,fullmask_delta,,,,0.16,132.7625121474266,0.02,0.0,variant_summary.csv,0.0,3
0.06,,,0.0,5734400,uniform_partial_state_delta,,,,0.0,132.84598470665514,0.0,0.0,variant_summary.csv,0.0,3
0.02,,,0.0,5734400,mask_count_cycling_delta,,,,0.02,124.04126689210534,0.0,0.0,variant_summary.csv,0.0,3
0.02,,,0.0,5734400,trajectory_sampled_delta,,,,0.02,126.44655749388039,0.0,0.0,variant_summary.csv,0.0,3
0.08,,,0.0,17203200,state_bucketed_delta,,,,0.12,260.93031225539744,0.0,0.0,variant_summary.csv,0.0,3
0.06,,,0.0,17203200,state_bucketed_delta_shuffled_control,,,,0.02,3.473845575004816,0.0,0.0,variant_summary.csv,0.0,3
0.04,,,0.0,5734400,fullmask_delta,,,,0.04,134.394657028839,0.0,0.0,variant_summary.csv,0.0,4
0.04,,,0.0,5734400,uniform_partial_state_delta,,,,0.12,132.75720717199147,0.0,0.0,variant_summary.csv,0.0,4
0.04,,,0.0,5734400,mask_count_cycling_delta,,,,0.04,122.56166710332036,0.0,0.0,variant_summary.csv,0.0,4
0.04,,,0.0,5734400,trajectory_sampled_delta,,,,0.02,126.8732548430562,0.0,0.0,variant_summary.csv,0.0,4
0.12,,,0.0,17203200,state_bucketed_delta,,,,0.12,264.14598588459194,0.0,0.0,variant_summary.csv,0.0,4
0.04,,,0.0,17203200,state_bucketed_delta_shuffled_control,,,,0.0,4.4202648140490055,0.0,0.0,variant_summary.csv,0.0,4
0.375,0.0,0.06896551724137931,0.0,2293760,unprotected_temporal_residual,0.053691275167785234,5.945289134979248,0.27878227829933167,0.65,,0.1,0.5516708876397555,protection_variant_summary.csv,0.6107675912259006,
0.375,0.0,0.06896551724137931,0.0,5439488,static_global_nullspace,0.06040268456375839,3.9334716796875,0.252011775970459,0.65,,0.1,0.5516708876397555,protection_variant_summary.csv,0.6107675912259006,
0.35,0.0,0.05172413793103448,0.0,68354048,shared_soft_preservation,0.06040268456375839,0.0011021540267392993,0.1539539396762848,0.7,,0.1,0.5436150570857983,protection_variant_summary.csv,0.6033435444917248,
0.375,0.0,0.08620689655172414,0.0,72941568,state_conditioned_preservation,0.06040268456375839,0.00046539210597984493,0.11763624846935272,0.75,,0.1,0.5984251968503937,protection_variant_summary.csv,0.6531391740272141,
0.0,0.0,0.0,0.0,72941568,state_conditioned_sparsification,0.0,0.00026165061475088197,0.09412432461977005,0.1,,0.0,0.0,protection_variant_summary.csv,0.0,
